file	word	syl	stress	status	position	label	sample	f0	step	time
americano_i_1	americano	3	paroxytone	control	1	u5	1	154.25	0.023	0.166
americano_i_1	americano	3	paroxytone	control	1	u5	2	153.28	0.023	0.189
americano_i_1	americano	3	paroxytone	control	1	u5	3	152.71	0.023	0.212
americano_i_1	americano	3	paroxytone	control	1	u5	4	152.62	0.023	0.234
americano_i_1	americano	3	paroxytone	control	1	u5	5	153.02	0.023	0.257
americano_i_1	americano	3	paroxytone	control	2	a	6	153.35	0.009	0.273
americano_i_1	americano	3	paroxytone	control	2	a	7	153.5	0.009	0.281
americano_i_1	americano	3	paroxytone	control	2	a	8	153.6	0.009	0.29
americano_i_1	americano	3	paroxytone	control	2	a	9	153.6	0.009	0.299
americano_i_1	americano	3	paroxytone	control	2	a	10	153.48	0.009	0.308
americano_i_1	americano	3	paroxytone	control	3	me	11	152.88	0.025	0.324
americano_i_1	americano	3	paroxytone	control	3	me	12	151.16	0.025	0.349
americano_i_1	americano	3	paroxytone	control	3	me	13	148.1	0.025	0.373
americano_i_1	americano	3	paroxytone	control	3	me	14	144.54	0.025	0.398
americano_i_1	americano	3	paroxytone	control	3	me	15	141.42	0.025	0.423
americano_i_1	americano	3	paroxytone	control	4	Ri	16	139.75	0.014	0.442
americano_i_1	americano	3	paroxytone	control	4	Ri	17	139.56	0.014	0.456
americano_i_1	americano	3	paroxytone	control	4	Ri	18	140.42	0.014	0.47
americano_i_1	americano	3	paroxytone	control	4	Ri	19	142.17	0.014	0.484
americano_i_1	americano	3	paroxytone	control	4	Ri	20	145.24	0.014	0.498
americano_i_1	americano	3	paroxytone	control	5	ka	21	152.73	0.033	0.521
americano_i_1	americano	3	paroxytone	control	5	ka	22	163.66	0.033	0.554
americano_i_1	americano	3	paroxytone	control	5	ka	23	174.74	0.033	0.586
americano_i_1	americano	3	paroxytone	control	5	ka	24	182.26	0.033	0.619
americano_i_1	americano	3	paroxytone	control	5	ka	25	188.45	0.033	0.652
americano_i_1	americano	3	paroxytone	control	6	nu5	26	192.3	0.03	0.683
americano_i_1	americano	3	paroxytone	control	6	nu5	27	194.33	0.03	0.713
americano_i_1	americano	3	paroxytone	control	6	nu5	28	194.13	0.03	0.743
americano_i_1	americano	3	paroxytone	control	6	nu5	29	192.81	0.03	0.772
americano_i_1	americano	3	paroxytone	control	6	nu5	30	189.59	0.03	0.802
americano_i_2	americano	3	paroxytone	control	1	u5	1	125.79	0.019	0.065
americano_i_2	americano	3	paroxytone	control	1	u5	2	123.86	0.019	0.084
americano_i_2	americano	3	paroxytone	control	1	u5	3	122.29	0.019	0.103
americano_i_2	americano	3	paroxytone	control	1	u5	4	121.26	0.019	0.123
americano_i_2	americano	3	paroxytone	control	1	u5	5	120.8	0.019	0.142
americano_i_2	americano	3	paroxytone	control	2	a	6	120.76	0.011	0.157
americano_i_2	americano	3	paroxytone	control	2	a	7	120.84	0.011	0.168
americano_i_2	americano	3	paroxytone	control	2	a	8	120.95	0.011	0.18
americano_i_2	americano	3	paroxytone	control	2	a	9	121.07	0.011	0.191
americano_i_2	americano	3	paroxytone	control	2	a	10	121.16	0.011	0.202
americano_i_2	americano	3	paroxytone	control	3	me	11	121.21	0.017	0.216
americano_i_2	americano	3	paroxytone	control	3	me	12	121.16	0.017	0.233
americano_i_2	americano	3	paroxytone	control	3	me	13	120.99	0.017	0.249
americano_i_2	americano	3	paroxytone	control	3	me	14	120.76	0.017	0.266
americano_i_2	americano	3	paroxytone	control	3	me	15	120.53	0.017	0.282
americano_i_2	americano	3	paroxytone	control	4	Ri	16	120.39	0.018	0.3
americano_i_2	americano	3	paroxytone	control	4	Ri	17	120.5	0.018	0.318
americano_i_2	americano	3	paroxytone	control	4	Ri	18	121.02	0.018	0.336
americano_i_2	americano	3	paroxytone	control	4	Ri	19	122.14	0.018	0.354
americano_i_2	americano	3	paroxytone	control	4	Ri	20	124	0.018	0.372
americano_i_2	americano	3	paroxytone	control	5	ka	21	127.21	0.047	0.405
americano_i_2	americano	3	paroxytone	control	5	ka	22	141.51	0.047	0.452
americano_i_2	americano	3	paroxytone	control	5	ka	23	155.55	0.047	0.499
americano_i_2	americano	3	paroxytone	control	5	ka	24	162.89	0.047	0.546
americano_i_2	americano	3	paroxytone	control	5	ka	25	169.2	0.047	0.593
americano_i_2	americano	3	paroxytone	control	6	nu5	26	172.09	0.04	0.637
americano_i_2	americano	3	paroxytone	control	6	nu5	27	171.8	0.04	0.677
americano_i_2	americano	3	paroxytone	control	6	nu5	28	168.5	0.04	0.717
americano_i_2	americano	3	paroxytone	control	6	nu5	29	165.22	0.04	0.757
americano_i_2	americano	3	paroxytone	control	6	nu5	30	162.17	0.04	0.797
americano_i_3	americano	3	paroxytone	control	1	u5	1	139.83	0.021	0.076
americano_i_3	americano	3	paroxytone	control	1	u5	2	139.03	0.021	0.097
americano_i_3	americano	3	paroxytone	control	1	u5	3	138.4	0.021	0.118
americano_i_3	americano	3	paroxytone	control	1	u5	4	138.12	0.021	0.138
americano_i_3	americano	3	paroxytone	control	1	u5	5	138.26	0.021	0.159
americano_i_3	americano	3	paroxytone	control	2	a	6	138.59	0.011	0.175
americano_i_3	americano	3	paroxytone	control	2	a	7	138.87	0.011	0.185
americano_i_3	americano	3	paroxytone	control	2	a	8	139.14	0.011	0.196
americano_i_3	americano	3	paroxytone	control	2	a	9	139.38	0.011	0.206
americano_i_3	americano	3	paroxytone	control	2	a	10	139.54	0.011	0.217
americano_i_3	americano	3	paroxytone	control	3	me	11	139.64	0.022	0.233
americano_i_3	americano	3	paroxytone	control	3	me	12	139.37	0.022	0.255
americano_i_3	americano	3	paroxytone	control	3	me	13	138.49	0.022	0.278
americano_i_3	americano	3	paroxytone	control	3	me	14	137.02	0.022	0.3
americano_i_3	americano	3	paroxytone	control	3	me	15	135.28	0.022	0.322
americano_i_3	americano	3	paroxytone	control	4	Ri	16	133.89	0.017	0.341
americano_i_3	americano	3	paroxytone	control	4	Ri	17	133	0.017	0.358
americano_i_3	americano	3	paroxytone	control	4	Ri	18	132.53	0.017	0.375
americano_i_3	americano	3	paroxytone	control	4	Ri	19	132.65	0.017	0.393
americano_i_3	americano	3	paroxytone	control	4	Ri	20	133.48	0.017	0.41
americano_i_3	americano	3	paroxytone	control	5	ka	21	135.65	0.043	0.439
americano_i_3	americano	3	paroxytone	control	5	ka	22	142.77	0.043	0.482
americano_i_3	americano	3	paroxytone	control	5	ka	23	155.06	0.043	0.524
americano_i_3	americano	3	paroxytone	control	5	ka	24	160.35	0.043	0.567
americano_i_3	americano	3	paroxytone	control	5	ka	25	166.15	0.043	0.609
americano_i_3	americano	3	paroxytone	control	6	nu5	26	168.41	0.035	0.648
americano_i_3	americano	3	paroxytone	control	6	nu5	27	167.48	0.035	0.683
americano_i_3	americano	3	paroxytone	control	6	nu5	28	164.3	0.035	0.718
americano_i_3	americano	3	paroxytone	control	6	nu5	29	161.16	0.035	0.753
americano_i_3	americano	3	paroxytone	control	6	nu5	30	158.96	0.035	0.788
americano_i_4	americano	3	paroxytone	control	1	u5	1	138.49	0.018	0.052
americano_i_4	americano	3	paroxytone	control	1	u5	2	139.24	0.018	0.07
americano_i_4	americano	3	paroxytone	control	1	u5	3	140.84	0.018	0.087
americano_i_4	americano	3	paroxytone	control	1	u5	4	143.24	0.018	0.105
americano_i_4	americano	3	paroxytone	control	1	u5	5	145.92	0.018	0.123
americano_i_4	americano	3	paroxytone	control	2	a	6	148.2	0.011	0.137
americano_i_4	americano	3	paroxytone	control	2	a	7	150.11	0.011	0.148
americano_i_4	americano	3	paroxytone	control	2	a	8	152.09	0.011	0.159
americano_i_4	americano	3	paroxytone	control	2	a	9	153.94	0.011	0.169
americano_i_4	americano	3	paroxytone	control	2	a	10	155.49	0.011	0.18
americano_i_4	americano	3	paroxytone	control	3	me	11	157.3	0.024	0.197
americano_i_4	americano	3	paroxytone	control	3	me	12	158.71	0.024	0.221
americano_i_4	americano	3	paroxytone	control	3	me	13	158.47	0.024	0.244
americano_i_4	americano	3	paroxytone	control	3	me	14	156.59	0.024	0.268
americano_i_4	americano	3	paroxytone	control	3	me	15	153.05	0.024	0.292
americano_i_4	americano	3	paroxytone	control	4	Ri	16	149.14	0.016	0.311
americano_i_4	americano	3	paroxytone	control	4	Ri	17	146.16	0.016	0.327
americano_i_4	americano	3	paroxytone	control	4	Ri	18	143.38	0.016	0.343
americano_i_4	americano	3	paroxytone	control	4	Ri	19	140.68	0.016	0.359
americano_i_4	americano	3	paroxytone	control	4	Ri	20	138.43	0.016	0.374
americano_i_4	americano	3	paroxytone	control	5	ka	21	138.02	0.049	0.407
americano_i_4	americano	3	paroxytone	control	5	ka	22	144.09	0.049	0.455
americano_i_4	americano	3	paroxytone	control	5	ka	23	148.41	0.049	0.504
americano_i_4	americano	3	paroxytone	control	5	ka	24	157.02	0.049	0.553
americano_i_4	americano	3	paroxytone	control	5	ka	25	166.41	0.049	0.602
americano_i_4	americano	3	paroxytone	control	6	nu5	26	172.54	0.038	0.645
americano_i_4	americano	3	paroxytone	control	6	nu5	27	174.93	0.038	0.684
americano_i_4	americano	3	paroxytone	control	6	nu5	28	174.5	0.038	0.722
americano_i_4	americano	3	paroxytone	control	6	nu5	29	173.12	0.038	0.761
americano_i_4	americano	3	paroxytone	control	6	nu5	30	170.45	0.038	0.799
americano_i_5	americano	3	paroxytone	control	1	u5	1	143.07	0.014	0.069
americano_i_5	americano	3	paroxytone	control	1	u5	2	145.53	0.014	0.082
americano_i_5	americano	3	paroxytone	control	1	u5	3	148.24	0.014	0.096
americano_i_5	americano	3	paroxytone	control	1	u5	4	151.04	0.014	0.11
americano_i_5	americano	3	paroxytone	control	1	u5	5	153.77	0.014	0.124
americano_i_5	americano	3	paroxytone	control	2	a	6	155.9	0.01	0.136
americano_i_5	americano	3	paroxytone	control	2	a	7	157.49	0.01	0.147
americano_i_5	americano	3	paroxytone	control	2	a	8	158.83	0.01	0.157
americano_i_5	americano	3	paroxytone	control	2	a	9	159.89	0.01	0.167
americano_i_5	americano	3	paroxytone	control	2	a	10	160.69	0.01	0.177
americano_i_5	americano	3	paroxytone	control	3	me	11	161.4	0.022	0.193
americano_i_5	americano	3	paroxytone	control	3	me	12	161.45	0.022	0.215
americano_i_5	americano	3	paroxytone	control	3	me	13	160.57	0.022	0.236
americano_i_5	americano	3	paroxytone	control	3	me	14	158.97	0.022	0.258
americano_i_5	americano	3	paroxytone	control	3	me	15	156.85	0.022	0.28
americano_i_5	americano	3	paroxytone	control	4	Ri	16	154.73	0.016	0.299
americano_i_5	americano	3	paroxytone	control	4	Ri	17	152.92	0.016	0.315
americano_i_5	americano	3	paroxytone	control	4	Ri	18	151.3	0.016	0.331
americano_i_5	americano	3	paroxytone	control	4	Ri	19	150.04	0.016	0.347
americano_i_5	americano	3	paroxytone	control	4	Ri	20	149.31	0.016	0.363
americano_i_5	americano	3	paroxytone	control	5	ka	21	149.91	0.047	0.395
americano_i_5	americano	3	paroxytone	control	5	ka	22	158.42	0.047	0.442
americano_i_5	americano	3	paroxytone	control	5	ka	23	166.28	0.047	0.49
americano_i_5	americano	3	paroxytone	control	5	ka	24	172.47	0.047	0.537
americano_i_5	americano	3	paroxytone	control	5	ka	25	177.66	0.047	0.585
americano_i_5	americano	3	paroxytone	control	6	nu5	26	179.5	0.033	0.625
americano_i_5	americano	3	paroxytone	control	6	nu5	27	179.56	0.033	0.658
americano_i_5	americano	3	paroxytone	control	6	nu5	28	178.86	0.033	0.69
americano_i_5	americano	3	paroxytone	control	6	nu5	29	178.29	0.033	0.723
americano_i_5	americano	3	paroxytone	control	6	nu5	30	178.28	0.033	0.756
americano_n_1	americano	3	paroxytone	new	1	uN5	1	165.12	0.04	0.109
americano_n_1	americano	3	paroxytone	new	1	uN5	2	167.77	0.04	0.149
americano_n_1	americano	3	paroxytone	new	1	uN5	3	167.1	0.04	0.189
americano_n_1	americano	3	paroxytone	new	1	uN5	4	162.18	0.04	0.229
americano_n_1	americano	3	paroxytone	new	1	uN5	5	156.1	0.04	0.269
americano_n_1	americano	3	paroxytone	new	2	a	6	152.75	0.01	0.294
